LU2005_2018;N1;N2;N3;P1;P2;P3
FCr_Cr;1708;53;99;2190;123;342
FCr_Gr;520;9;12;721;37;121
FCr_WPr;164;2;23;203;9;22
FCr_WPm;19;0;1;34;2;18
FCr_F;412;21;34;769;75;215
Cr_FCr;2069;96;125;3667;296;915
Cr_Gr;137857;4430;6504;226203;13631;29184
Cr_WPr;36574;1474;2505;54371;3509;6799
Cr_WPm;8519;739;2812;8095;333;793
Cr_F;23999;735;1363;50992;3926;10030
Gr_FCr;83;2;3;199;20;32
Gr_Cr;35404;1233;2154;53108;2907;6052
Gr_WPr;15202;478;798;20613;1065;2233
Gr_WPm;1493;176;601;1514;80;119
Gr_F;4129;94;149;8283;583;1241
WPr_FCr;6;0;0;47;4;7
WPr_Cr;1244;23;35;2480;149;340
WPr_Gr;90;6;3;131;5;11
WPr_WPm;94;4;10;126;6;16
WPr_F;2969;62;108;6240;353;817
F_FCr;500;38;102;733;86;245
F_Cr;2384;98;399;4004;249;553
F_Gr;2759;115;153;4663;315;751
F_WPr;1540;35;42;3761;271;483
F_WPm;346;12;20;765;57;139
