;N1;N2;N3;P1;P2;P3
TreeCrops_Cropland;2121;258;445;1444;100;232
TreeCrops_Grasslands;710;54;161;419;21;71
TreeCrops_WetlandPeri;230;19;52;113;3;6
TreeCrops_WetlandPerm;26;3;6;23;6;10
TreeCrops_Forest;638;55;100;527;29;177
Cropland_TreeCrops;2140;181;247;2568;353;1688
Cropland_Grasslands;209180;19258;33973;140079;9556;20307
Cropland_WetlandPeri;50140;4959;10031;32720;2526;6043
Cropland_WetlandPerm;7805;1127;5178;6264;365;592
Cropland_Forest;36877;2802;5070;33096;3316;10393
Grasslands_TreeCrops;131;7;28;138;12;45
Grasslands_Cropland;50361;4711;8168;32745;2128;4713
Grasslands_WetlandPeri;22480;2473;5018;10208;584;921
Grasslands_WetlandPerm;1658;290;1211;782;48;70
Grasslands_Forest;7420;639;1056;4472;328;767
WetlandPeri_TreeCrops;42;5;0;14;0;2
WetlandPeri_Cropland;2317;224;250;1303;65;150
WetlandPeri_Grasslands;121;9;25;89;6;8
WetlandPeri_WetlandPerm;138;15;58;62;5;10
WetlandPeri_Forest;5975;518;947;2912;140;260
Forest_TreeCrops;560;67;337;445;44;256
Forest_Cropland;3650;443;1310;1925;122;257
Forest_Grasslands;4491;558;968;2357;141;337
Forest_WetlandPeri;3476;299;584;1627;64;107
Forest_WetlandPerm;696;72;128;380;20;37
